subject_id	subject_label
ICD10CM:S50.319S	Abrasion of unspecified elbow, sequela
ICD10CM:S50.319D	Abrasion of unspecified elbow, subsequent encounter
ICD10CM:S30.816	Abrasion of unspecified external genital organs, female
ICD10CM:S30.816A	Abrasion of unspecified external genital organs, female, initial encounter
ICD10CM:S30.816S	Abrasion of unspecified external genital organs, female, sequela
ICD10CM:S30.816D	Abrasion of unspecified external genital organs, female, subsequent encounter
ICD10CM:S30.815	Abrasion of unspecified external genital organs, male
ICD10CM:S30.815A	Abrasion of unspecified external genital organs, male, initial encounter
ICD10CM:S30.815S	Abrasion of unspecified external genital organs, male, sequela
ICD10CM:S30.815D	Abrasion of unspecified external genital organs, male, subsequent encounter
ICD10CM:S00.219	Abrasion of unspecified eyelid and periocular area
ICD10CM:S00.219A	Abrasion of unspecified eyelid and periocular area, initial encounter
ICD10CM:S00.219S	Abrasion of unspecified eyelid and periocular area, sequela
ICD10CM:S00.219D	Abrasion of unspecified eyelid and periocular area, subsequent encounter
ICD10CM:S60.419	Abrasion of unspecified finger
ICD10CM:S60.419A	Abrasion of unspecified finger, initial encounter
ICD10CM:S60.419S	Abrasion of unspecified finger, sequela
ICD10CM:S60.419D	Abrasion of unspecified finger, subsequent encounter
ICD10CM:S50.819	Abrasion of unspecified forearm
ICD10CM:S50.819A	Abrasion of unspecified forearm, initial encounter
ICD10CM:S50.819S	Abrasion of unspecified forearm, sequela
ICD10CM:S50.819D	Abrasion of unspecified forearm, subsequent encounter
ICD10CM:S20.319	Abrasion of unspecified front wall of thorax
ICD10CM:S20.319A	Abrasion of unspecified front wall of thorax, initial encounter
ICD10CM:S20.319S	Abrasion of unspecified front wall of thorax, sequela
ICD10CM:S20.319D	Abrasion of unspecified front wall of thorax, subsequent encounter
ICD10CM:S60.519	Abrasion of unspecified hand
ICD10CM:S60.519A	Abrasion of unspecified hand, initial encounter
ICD10CM:S60.519S	Abrasion of unspecified hand, sequela
ICD10CM:S60.519D	Abrasion of unspecified hand, subsequent encounter
ICD10CM:S00.91	Abrasion of unspecified part of head
ICD10CM:S00.91XA	Abrasion of unspecified part of head, initial encounter
